topic1,weights1,topic2,weights2,topic3,weights3,topic4,weights4,topic5,weights5
school,1.7510825019214467,young,0.9836566248341776,world,0.8092484029169842,life,1.6025088547512512,new,1.3360399387263562
high,1.480752749794319,man,0.7996177404787433,series,0.6277974629315908,love,0.9769873827866492,friends,0.6943557413576971
student,0.4745969009540644,woman,0.7096435589031942,documentary,0.6199870839466728,falls,0.143567446072628,city,0.3688112513951107
students,0.34736463749854185,family,0.49713635173965115,war,0.2934660355849437,finds,0.12716384021761362,york,0.34258426509234174
teen,0.3398514622866303,father,0.40340610087929857,follows,0.2602634951567643,career,0.1262193824358941,home,0.28550900032431065
college,0.21984134529826102,son,0.256758563798967,true,0.21473646617077355,real,0.11923827242475017,help,0.21212254667980568
girl,0.21815499926351814,mother,0.24042558334094097,based,0.21345388181127625,different,0.1176657576680181,old,0.20874032317561986
teacher,0.2096931470525339,daughter,0.2318037131014219,lives,0.21264536347875662,romance,0.11295362560072457,year,0.1636931693333922
best,0.18522519993311595,old,0.18610176959303132,story,0.21203674246514137,fall,0.10293453747857896,best,0.1602384509704681
group,0.17426408882584674,girl,0.18462688943893701,comedy,0.20292697998870446,comes,0.09993697439422307,town,0.15141045018261926
romance,0.1679994252323697,wife,0.17881722720721144,stories,0.19771659769286795,personal,0.09514746120644742,finds,0.1253161329731238
gets,0.1576568699413095,finds,0.17878425777325818,women,0.18081364956623236,death,0.08617016086726037,adventure,0.1091820479743147
team,0.13816581600950528,years,0.17011266392195665,special,0.17489408631205114,loss,0.08310777146859291,save,0.10776974195044224
girls,0.13261197719949436,help,0.16445722816768615,ii,0.17380765247770774,true,0.08136588961555775,evil,0.10028109675285223
popular,0.1208323270136664,death,0.16009129251262547,history,0.16686780429410544,triangle,0.08129260837633213,adventures,0.0980196738859383
