topic1,weights1,topic2,weights2,topic3,weights3,topic4,weights4,topic5,weights5
school,1.7480761290641147,young,0.9833445940227605,world,0.8111658737961708,life,1.605406792772557,new,1.3403402857987405
high,1.4782144610716752,man,0.7993624027102889,series,0.6292885529839395,love,0.9787508601081144,friends,0.6966267880321406
student,0.4737832100623895,woman,0.7094193527357677,documentary,0.6214610586167731,falls,0.143826023997775,city,0.3700008118237053
students,0.34676925641368606,family,0.4969642528974038,war,0.294161760479578,finds,0.127394520324691,york,0.3436807732493526
teen,0.3392685237058237,father,0.4032721598513792,follows,0.26088131879798326,career,0.12644748569596478,home,0.28645745906608266
college,0.21946220868292673,son,0.25667172490541895,true,0.21524690372543018,real,0.11945345676770329,help,0.21283425225622993
girl,0.21777466928576522,mother,0.24034279155579247,based,0.21396166972009206,different,0.11787801790718457,old,0.20954109552723194
teacher,0.20933503838126274,daughter,0.23172077240635452,lives,0.2131503970345471,romance,0.11315716950884402,year,0.16433365614020887
best,0.18489091700482618,old,0.1859753064682207,story,0.21254130435700544,fall,0.10312031623642551,best,0.16077796114682566
group,0.17396270387234244,girl,0.18455841947679485,comedy,0.20340806323456548,comes,0.10011767838906338,town,0.15190875996024927
romance,0.16771186102551597,wife,0.17875596306366628,stories,0.19818631038787035,personal,0.09531910711663201,finds,0.12571922711529715
gets,0.15738668577577197,finds,0.17872467529184896,women,0.1812437712288932,death,0.08632697627978841,adventure,0.10953905028453755
team,0.13792609834878874,years,0.17005609562740465,special,0.1753066144516312,loss,0.08325796661051833,save,0.10813678381438754
girls,0.13238480383758827,help,0.1643899201582868,ii,0.17422023109333895,true,0.0815113126801676,evil,0.10061488313079239
popular,0.12062439586760704,death,0.16003632436233434,history,0.16726324038552662,triangle,0.08143933601489388,adventures,0.09834040645786787
